1	уже	уже	ADV	_	_	_	_	_	@aap1989m-words#@aap1989m#47.632#47.905
2	для	для	ADP	_	_	_	_	_	@yad1986m-words#@yad1986m#0.11#0.487
3	чего	что	PRON	_	Case=Gen	_	_	_	@yad1986m-words#@yad1986m#0.487#0.864
4	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yad1986m-words#@yad1986m#0.864#1.241
5	придумал	придумать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#1.241#1.618
6	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#1.618#1.995
7	моноспектакль	моноспектакль	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#1.995#2.372
8	заново	заново	ADV	_	_	_	_	_	@yad1986m-words#@yad1986m#2.372#2.749
9	родиться	родиться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	_	_	_	@yad1986m-words#@yad1986m#2.749#3.126
10	?	?	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#3.126#3.51
11	где	где	ADV	_	_	_	_	_	@yad1986m-words#@yad1986m#7.85#8.183
12	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#8.183#8.516
13	расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#8.516#8.849
14	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#8.849#9.182
15	где	где	ADV	_	_	_	_	_	@yad1986m-words#@yad1986m#9.182#9.515
16	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@yad1986m-words#@yad1986m#9.515#9.848
17	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#9.848#10.181
18	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#10.181#10.514
19	Гоа	Гоа	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#10.514#10.847
20	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#10.847#11.18
21	Таиланд	Таиланд	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#11.18#11.52
22	так	так	ADV	_	_	_	_	_	@yad1986m-words#@yad1986m#12.96#13.22
23	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#79.14#79.41
24	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986m-words#@yad1986m#79.41#79.68
25	что	что	SCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#79.68#79.95
26	нужно	нужный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@yad1986m-words#@yad1986m#79.95#80.22
27	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#80.22#80.49
28	наконец-то	наконец-то	ADV	_	_	_	_	_	@yad1986m-words#@yad1986m#80.49#80.76
29	все	все	DET	_	Case=Acc|Number=Plur	_	_	_	@yad1986m-words#@yad1986m#80.76#81.03
30	детали	деталь	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@yad1986m-words#@yad1986m#81.03#81.3
31	которые	который	PRON	_	Case=Nom	_	_	_	@yad1986m-words#@yad1986m#81.3#81.57
32	нужда...	нужда	X _	_	_	@yad1986m-words#@yad1986m#81.57#81.84
33	/	/	PUNCT	_	_	_	_	_	@yad1986m-words#@yad1986m#81.84#82.11
34	если	если	SCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#82.11#82.38
35	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yad1986m-words#@yad1986m#82.38#82.65
36	даже	даже	PART	_	_	_	_	_	@yad1986m-words#@yad1986m#82.65#82.92
37	скажешь	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@yad1986m-words#@yad1986m#82.92#83.19
38	что	что	SCONJ	_	_	_	_	_	@yad1986m-words#@yad1986m#83.19#83.46
